Employee_Name,EmpID,MarriedID,DeptID,PayRate,PositionID,Position,State,DOB,Sex,DateofHire,Department
"Demita, Carla",1104025179,0,5,29,20,Production Technician II,MA,2/25/1951,F,4/4/2011,Production       
"Hankard, Earnest",1307059937,0,5,24,20,Production Technician II,MA,8/10/1988,M ,11/11/2013,Production       
"Hendrickson, Trina",1011022932,0,5,24,20,Production Technician II,MA,8/27/1972,F,1/10/2011,Production       
"Linden, Mathew",1405067565,1,5,22,20,Production Technician II,MA,3/19/1979,M ,7/8/2013,Production       
"Moran, Patrick",1408069503,0,5,26,20,Production Technician II,MA,12/3/1976,M ,1/9/2012,Production       
"Sahoo, Adil",1106026462,1,5,29,20,Production Technician II,MA,4/26/1986,M ,8/30/2010,Production       
"Burkett, Benjamin ",1301052449,1,5,26,20,Production Technician II,MA,8/19/1977,M ,4/4/2011,Production       
"Foreman, Tanya",1012023204,1,5,24,20,Production Technician II,MA,11/8/1983,F,4/4/2011,Production       
"Jeannite, Tayana",1008020942,0,5,22.5,20,Production Technician II,MA,11/6/1986,F,7/5/2011,Production       
"McCarthy, Brigit",1406067957,0,5,26,20,Production Technician II,MA,5/21/1987,F,3/30/2015,Production       
"Peters, Lauren",1411071406,1,5,29,20,Production Technician II,MA,8/17/1986,F,5/16/2011,Production       
"Walker, Roger",1011022818,0,5,22,20,Production Technician II,MA,2/10/1976,M ,8/18/2014,Production       
"Akinkuolie, Sarah",1005019209,1,5,29,20,Production Technician II,MA,9/19/1988,F,7/5/2011,Production       
"Davis, Daniel",1201031274,0,5,25,20,Production Technician II,MA,9/14/1979,M ,11/7/2011,Production       
"Gosciminski, Phylicia  ",1108028351,0,5,27,20,Production Technician II,MA,12/8/1983,F,9/30/2013,Production       
"Latif, Mohammed",1104025486,1,5,28,20,Production Technician II,MA,5/9/1984,M ,4/2/2012,Production       
"Monterro, Luisa",1001103149,0,5,25,20,Production Technician II,MA,4/24/1970,F,5/13/2013,Production       
"Robertson, Peter",1499902991,1,5,22,20,Production Technician II,MA,7/3/1972,M ,7/5/2011,Production       
"Woodson, Jason",1012023010,0,5,24.25,20,Production Technician II,MA,5/11/1985,M ,7/7/2014,Production       
"Blount, Dianna",1403066125,0,5,27,20,Production Technician II,MA,9/21/1990,F,4/4/2011,Production       
"Erilus, Angela",1105025661,0,5,24,20,Production Technician II,MA,8/25/1989,F,7/7/2014,Production       
"Homberger, Adrienne  J",1207046956,1,5,28,20,Production Technician II,MA,2/16/1984,F,8/15/2011,Production       
"Lundy, Susan",1305056276,0,5,24,20,Production Technician II,MA,12/26/1976,F,7/8/2013,Production       
"Moumanil, Maliki ",1301052436,0,5,29,20,Production Technician II,MA,12/1/1974,M ,5/13/2013,Production       
"Sloan, Constance",1012023103,0,5,23,20,Production Technician II,MA,11/25/1987,F,10/26/2009,Production       
"Buccheri, Joseph  ",1101023457,0,5,22,20,Production Technician II,MA,7/28/1983,M ,9/29/2014,Production       
"Fancett, Nicole",1402065085,0,5,24,20,Production Technician II,MA,9/27/1987,F,2/17/2014,Production       
"Hutter, Rosalie",1103024924,0,5,28,20,Production Technician II,MA,5/7/1992,F,6/5/2015,Production       
"Manchester, Robyn",1110029623,1,5,23,20,Production Technician II,MA,8/25/1976,F,5/11/2016,Production       
"Oliver, Brooke ",1001856521,1,5,25,20,Production Technician II,MA,2/11/1952,F,5/14/2012,Production       
"Thibaud, Kenneth",1011022777,0,5,23,20,Production Technician II,MA,9/16/1975,M ,6/25/2007,Production       
"Daneault, Lynn",1402065303,0,6,54,21,Sales Manager,VT,4/19/1990,F,5/5/2014,Sales
"Kampew, Donysha",1109029264,0,6,60.25,21,Sales Manager,PA,11/11/1989,F,11/7/2011,Sales
"Smith, John",1499902910,0,6,56,21,Sales Manager,MA,8/16/1984,M ,5/18/2014,Sales
"Le, Binh",1009919930,0,3,50.25,22,Senior BI Developer,MA,6/14/1987,F,10/2/2016,IT/IS
"Navathe, Kurt",1009919960,0,3,52.25,22,Senior BI Developer,MA,4/25/1970,M ,2/10/2017,IT/IS
"Wang, Charlie",1009919970,0,3,51,22,Senior BI Developer,MA,7/8/1981,M ,2/15/2017,IT/IS
"LeBlanc, Brandon  R",1102024115,1,1,55,23,Shared Services Manager,MA,6/10/1984,M ,1/5/2016,Admin Offices
"Quinn, Sean",1206043417,1,1,55,23,Shared Services Manager,MA,11/6/1984,M ,2/21/2011,Admin Offices
"Andreola, Colby",1107027358,0,4,47.6,24,Software Engineer,MA,5/24/1979,F,11/10/2014,Software Engineering
"Carabbio, Judith",1101023577,0,4,56,24,Software Engineer,MA,4/5/1987,F,11/11/2013,Software Engineering
"Del Bosque, Keyla",1203032498,0,4,57.12,24,Software Engineer,MA,7/5/1979,F,1/9/2012,Software Engineering
"Exantus, Susan",1401064670,1,4,48.5,24,Software Engineer,MA,5/15/1987,F,5/2/2011,Software Engineering
"Martin, Sandra",1303054625,0,4,55.51,24,Software Engineer,MA,11/7/1987,F,11/11/2013,Software Engineering
"Patronick, Luke",1112030979,0,4,52.25,24,Software Engineer,MA,2/20/1979,M ,11/7/2011,Software Engineering
"Saada, Adell",1012023185,1,4,49.25,24,Software Engineer,MA,7/24/1986,F,11/5/2012,Software Engineering
"Szabo, Andrew",1201031324,0,4,48,24,Software Engineer,MA,5/6/1983,M ,7/7/2014,Software Engineering
"True, Edward",1102024057,0,4,45.42,24,Software Engineer,MA,6/14/1983,M ,2/18/2013,Software Engineering
"Sweetwater, Alex",1001644719,0,4,27,25,Software Engineering Manager,MA,11/22/1966,M ,8/15/2011,Software Engineering
"Foster-Baker, Amy",1201031308,1,1,34.95,26,Sr. Accountant,MA,4/16/1979,F,1/5/2009,Admin Offices
"Boutwell, Bonalyn",1307060188,1,1,34.95,26,Sr. Accountant,MA,4/4/1987,F,2/16/2015,Admin Offices
"Ait Sidi, Karthikeyan   ",1307060199,1,3,62,27,Sr. DBA,MA,5/5/1975,M ,3/30/2015,IT/IS
"Carr, Claudia  N",1010022337,0,3,61.3,27,Sr. DBA,MA,6/6/1986,F,6/30/2016,IT/IS
"Favis, Donald  ",1412071562,0,3,58.2,30,Enterprise Architect,CT,7/30/1964,M ,2/17/2014,IT/IS
"Roehrich, Bianca",1111030266,0,3,58.5,29,Principal Data Architect,MA,5/27/1973,F,1/5/2015,IT/IS
"Daniele, Ann  ",1411071312,1,3,54.1,28,Sr. Network Engineer,CT,1/18/1952,F,11/10/2014,IT/IS
"Lajiri,  Jyoti",1108028108,1,3,56.2,28,Sr. Network Engineer,MA,4/23/1986,M ,11/10/2014,IT/IS
"Semizoglou, Jeremiah  ",904013591,1,3,53.8,28,Sr. Network Engineer,MA,2/9/1983,M ,6/30/2016,IT/IS
"South, Joe",1308060959,0,3,53,28,Sr. Network Engineer,CT,9/9/1965,M ,11/10/2014,IT/IS
"Warfield, Sarah",1301052347,0,3,55.2,28,Sr. Network Engineer,MA,5/2/1978,F,3/30/2015,IT/IS
